Position,Country,Gain_Earn,Players,Favo_Game,Earn_Fgame,Proportion
133,Sudan,555584,2,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,555584,10000
134,Turkmenistan,522040,6,Dota 2,500000,9578
135,Namibia,500000,5,Counter-Strike: Global Offensive,500000,10000
136,United Republic of Tanzania,450000,1,Magic: The Gathering Arena,450000,10000
137,Zimbabwe,436000,2,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,426000,9771
138,Jersey,373677,4,Echo Arena,345333,9241
139,Åland Islands,354738,18,Heroes of Newerth,273738,7717
140,Tajikistan,347500,1,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,347500,10000
141,New Caledonia,343797,4,Shadowverse,330000,9599
142,Guernsey,292011,1,Rocket League,292011,10000
143,Ghana,290876,6,FIFA 19,280876,9656
144,Madagascar,290800,5,Tekken 7,240000,8253
145,Suriname,278333,1,Pokemon Unite,278333,10000
146,Mozambique,234569,5,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,192000,8185
147,Isle of Man,203600,1,rFactor 2,125000,6139
148,American Samoa,175000,1,Rainbow Six Siege,175000,10000
149,Cyprus,173279,10,Apex Legends,126999,7329
150,Zambia,163544,2,Mortal Kombat 11,122420,7485
151,Kenya,163262,2,Overwatch,148262,9081
152,Angola,120000,3,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,120000,10000
152,Togo,120000,1,Tekken 7,120000,10000
154,Andorra,95226,5,Chesscom,57500,6038
155,Mauritania,75900,1,Hearthstone,75900,10000
156,Wallis And Futuna,60000,1,Diabotical,60000,10000
157,Gabon,54050,1,Fortnite,54050,10000
158,Aruba,51334,4,Apex Legends,38000,7403
159,Tuvalu,50000,1,Fortnite,50000,10000
160,Maldives,42154,6,Rocket League,30000,7117
161,Northern Mariana Islands,30000,1,Quake III Arena,30000,10000
162,Bahamas,26300,1,Yu-Gi-Oh! Duel Links,26300,10000
163,Belize,25000,1,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,25000,10000
164,Botswana,23333,1,VALORANT,23333,10000
165,Bermuda,20000,1,Dota 2,20000,10000
165,Dominica,20000,1,Counter-Strike: Global Offensive,20000,10000
167,Uganda,14966,2,Minecraft,10000,6682
168,Liechtenstein,5647,2,Call of Duty: Advanced Warfare,2847,5042
169,Saint Martin,5000,1,Counter-Strike: Global Offensive,5000,10000
170,US Minor Outlying Islands,3000,1,Brawlhalla,3000,10000
171,Papua New Guinea,2500,1,Diabotical,2500,10000
172,Saint Kitts and Nevis,2000,1,Lichess,2000,10000
173,Saint Barthélemy Saint Barthélemy,763,1,Tetrio,763,10000
